82	0	2
78	5	1
86	17	1
37	27	1
24	93	2
51	57	0
26	60	0
92	76	2
64	15	2
0	93	2
25	5	1
34	61	1
59	85	2
93	85	1
56	89	1
67	42	1
80	42	2
67	20	0
58	35	2
48	60	1
57	0	1
13	82	1
45	51	2
3	88	0
87	23	1
42	70	2
90	68	2
92	49	2
69	66	0
21	60	2
64	49	1
67	78	0
98	69	2
50	9	1
68	37	1
9	47	1
88	12	0
23	41	1
43	91	1
68	83	2
31	55	1
13	53	0
47	69	0
57	88	0
78	4	0
78	48	0
98	37	2
61	21	0
50	50	1
53	59	1
21	63	0
32	21	0
7	84	0
8	42	1
83	53	1
70	96	0
12	77	1
51	9	1
73	84	0
27	65	0
39	5	1
35	39	0
15	49	2
86	23	0
7	9	2
90	88	2
61	63	0
78	30	1
41	48	2
69	31	0
82	63	1
49	66	2
22	53	1
92	86	1
98	21	2
36	46	0
27	39	0
38	61	2
58	92	2
23	28	2
53	48	2
80	13	1
57	55	2
38	23	0
45	91	2
10	44	1
82	96	0
76	43	0
8	91	1
14	75	0
77	56	2
10	9	2
17	4	0
80	47	1
24	35	2
48	62	1
10	51	2
68	98	2
99	62	1
54	91	2
78	30	2
91	61	2
8	96	0
53	94	0
65	32	0
39	19	0
50	42	0
38	19	0
3	97	2
1	30	2
54	72	2
19	49	1
55	28	2
66	36	0
77	78	2
63	30	1
81	53	1
43	5	1
55	24	2
20	22	1
77	12	1
67	38	1
34	96	2
35	47	2
78	59	1
10	89	1
60	71	2
89	78	0
62	35	1
45	16	0
14	94	2
83	46	2
96	37	1
56	40	1
22	65	1
18	88	2
99	89	2
76	52	2
12	5	1
88	79	2
10	52	0
89	41	1
84	90	1
51	14	2
52	85	2
46	64	0
26	78	0
74	52	1
97	92	0
45	76	0
34	23	0
33	90	0
53	68	1
74	0	2
85	84	0
61	75	0
56	3	1
4	13	2
80	48	0
44	96	2
58	46	0
82	75	2
31	15	2
37	69	0
0	29	0
43	8	1
49	63	1
35	0	1
23	12	0
14	79	2
34	47	0
64	71	1
60	54	0
78	15	1
58	66	2
82	14	1
78	54	0
91	57	2
7	67	1
75	68	0
77	50	1
60	9	2
10	8	1
42	52	2
38	7	0
12	58	1
79	12	0
95	81	2
72	55	1
73	50	1
20	46	1
13	61	2
53	77	2
11	14	1
1	54	2
93	52	0
51	5	0
80	16	2
44	39	0
6	86	1
45	48	2
56	2	2
76	18	2
58	44	0
36	64	1
84	44	1
50	81	0
88	92	2
11	89	1
39	16	0
45	39	0
67	63	1
52	0	2
27	0	2
54	1	0
40	83	1
58	7	1
96	51	0
84	31	0
79	67	1
5	60	0
65	88	2
6	83	1
47	63	1
27	92	0
48	28	0
26	53	0
79	79	2
65	97	1
85	41	2
11	54	0
79	21	2
21	77	1
70	27	1
42	60	0
85	67	2
7	10	2
86	84	2
61	30	2
4	23	0
88	80	1
89	67	2
86	0	1
57	84	1
45	2	0
15	98	1
99	56	2
73	45	2
9	44	2
26	95	2
46	69	1
32	79	2
38	98	1
83	44	0
88	18	2
50	92	2
18	84	1
47	98	2
43	1	0
75	92	0
23	90	2
14	26	2
50	5	0
80	25	0
21	96	1
60	35	0
68	85	1
22	4	1
16	71	1
47	32	2
31	69	1
9	79	1
58	6	0
26	21	2
11	52	1
86	96	2
41	62	0
18	77	1
71	47	0
92	13	1
81	93	1
99	26	2
94	88	1
47	3	2
64	21	0
14	15	2
51	25	2
61	10	2
91	67	1
28	27	0
22	1	2
1	8	0
1	36	0
25	40	1
82	60	1
61	15	1
18	30	1
58	2	1
55	60	0
97	90	2
88	3	1
85	37	0
94	35	0
73	2	2
85	46	2
24	6	1
68	87	0
54	28	1
72	90	1
80	41	1
36	76	0
55	18	1
91	7	1
53	22	0
66	34	2
40	53	0
28	83	1
95	82	0
86	26	2
77	47	0
9	4	2
74	6	1
92	33	0
50	93	1
8	74	2
76	95	2
78	37	1
80	27	0
13	62	2
0	55	1
11	88	0
73	17	2
55	5	1
84	22	1
98	81	2
81	24	0
30	72	2
45	16	2
31	0	2
62	41	1
7	41	0
17	45	0
4	90	1
31	68	1
21	54	1
90	23	1
2	53	0
99	27	0
57	27	1
30	62	2
34	16	1
51	34	1
25	20	1
95	84	0
22	52	2
67	43	2
50	3	0
4	37	2
6	11	0
34	18	2
35	70	1
61	75	2
34	22	1
95	54	2
30	10	1
10	7	0
87	77	0
15	70	2
54	82	0
51	15	2
28	66	2
79	72	1
81	13	2
49	44	2
80	63	1
56	80	2
30	76	2
64	92	2
51	19	2
66	58	1
50	64	2
37	88	1
59	99	0
27	33	2
77	34	2
86	91	1
8	17	2
37	34	2
51	48	2
79	39	2
5	62	0
3	3	0
38	83	1
94	52	0
99	27	1
1	67	2
61	76	1
74	77	2
79	39	0
10	18	2
33	75	2
65	40	0
13	60	0
99	88	0
89	66	0
27	1	0
90	48	0
87	76	2
46	8	2
82	7	2
32	7	1
77	10	0
68	33	0
58	2	2
25	92	2
98	54	2
28	10	2
31	7	1
84	56	1
35	19	2
27	97	2
52	97	2
26	53	2
98	7	2
85	29	0
68	88	2
28	62	1
40	33	0
78	43	0
58	54	2
47	73	1
31	40	0
16	26	1
28	90	0
17	96	2
50	92	0
14	83	0
69	73	0
67	64	2
10	88	2
39	64	2
0	94	0
20	38	2
58	68	1
75	43	2
